date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:35	49159/49159	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Sep%202021%2004:45:00%20GMT	https://themetum.com/envato/wokoya/iconbar/index-3.html	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/index-3.html	(from )
13:17:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Nov%202021%2013:15:45%20GMT	https://themetum.com/robots.txt		(from )
13:17:37	199/199	---M--	200	added ('OK')	image/png	date:Sun,%2012%20Sep%202021%2010:54:06%20GMT	https://themetum.com/envato/wokoya/iconbar/img/favicon.png	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/img/favicon.png	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:38	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Oct%202017%2003:49:42%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/fontawesome.min.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/fontawesome.min.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:38	162764/162764	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Sep%202021%2012:23:10%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/bootstrap.min.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/bootstrap.min.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:39	25622/25622	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Aug%202021%2007:39:44%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/bsnav.min.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/bsnav.min.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:39	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Oct%202018%2018:54:08%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/magnific-popup.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/magnific-popup.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:40	1776/1776	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Sep%202021%2004:59:06%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/slick.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/slick.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:40	57333/57333	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2015:49:20%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/all.min.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/all.min.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:40	57095/57095	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jun%202021%2015:49:44%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/animate.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/animate.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:41	92220/92220	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2006:25:28%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/icofont.min.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/icofont.min.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
13:17:41	1784/1784	---M-Z	200	added ('OK')	text/css	date:Sun,%2015%20Mar%202020%2004:47:22%20GMT	https://themetum.com/envato/wokoya/iconbar/assets/css/splitting.css	C:/MY%20WEBSITE%20PAGE/My%20Port-folio/themetum.com/envato/wokoya/iconbar/assets/css/splitting.css	(from https://themetum.com/envato/wokoya/iconbar/index-3.html)
